title,budget,release_year,runtime,vote_average,label
Noah,125000000 ,2014,139,5.6,0
The Adventures of Tintin,130000000 ,2011,107,6.7,0
Harry Potter and the Prisoner of Azkaban,130000000 ,2004,141,7.7,1
Australia,130000000 ,2008,165,6.3,0
After Earth,130000000 ,2013,100,5,0
Dinosaur,127500000 ,2000,82,6.2,0
Night at the Museum: Secret of the Tomb,127000000 ,2014,97,6.1,0
Megamind,130000000 ,2010,95,6.7,0
Harry Potter and the Philosopher's Stone,125000000 ,2001,152,7.5,1
R.I.P.D.,130000000 ,2013,96,5.4,0
Pirates of the Caribbean: The Curse of the Black Pearl,140000000 ,2003,143,7.5,1
The Hunger Games: Mockingjay - Part 1,125000000 ,2014,123,6.6,0
The Da Vinci Code,125000000 ,2006,149,6.5,0
Rio 2,103000000 ,2014,102,6.3,0
X2,110000000 ,2003,133,6.8,0
Fast Five,125000000 ,2011,130,7.1,1
Sherlock Holmes: A Game of Shadows,125000000 ,2011,129,7,0
Clash of the Titans,125000000 ,2010,106,5.6,0
Total Recall,65000000 ,1990,113,7.1,1
The 13th Warrior,160000000 ,1999,102,6.4,0
The Bourne Legacy,130000000 ,2012,120,6,0
Batman & Robin,125000000 ,1997,125,4.2,0
How the Grinch Stole Christmas,123000000 ,2000,104,6.2,0
The Day After Tomorrow,125000000 ,2004,124,6.2,0
Mission: Impossible II,125000000 ,2000,123,5.9,0
The Perfect Storm,120000000 ,2000,130,6.2,0
Fantastic 4: Rise of the Silver Surfer,130000000 ,2007,92,5.4,0
Life of Pi,120000000 ,2012,127,7.2,1
Ghost Rider,110000000 ,2007,114,5.2,0
Jason Bourne,120000000 ,2016,123,5.9,0
Charlie's Angels: Full Throttle,120000000 ,2003,106,5.2,0
Prometheus,130000000 ,2012,124,6.3,0
Stuart Little 2,120000000 ,2002,78,5.4,0
Elysium,115000000 ,2013,109,6.4,0
The Chronicles of Riddick,105000000 ,2004,119,6.3,0
RoboCop,120000000 ,2014,102,5.7,0
Speed Racer,120000000 ,2008,135,5.7,0
How Do You Know,120000000 ,2010,121,4.9,0
Knight and Day,117000000 ,2010,109,5.9,0
Oblivion,120000000 ,2013,124,6.4,0
Star Wars: Episode III - Revenge of the Sith,113000000 ,2005,140,7.1,1
Star Wars: Episode II - Attack of the Clones,120000000 ,2002,142,6.4,0
"Monsters, Inc.",115000000 ,2001,92,7.5,1
The Wolverine,120000000 ,2013,126,6.3,0
Star Wars: Episode I - The Phantom Menace,115000000 ,1999,136,6.3,0
The Croods,135000000 ,2013,98,6.8,0
Asterix at the Olympic Games,97250400 ,2008,116,5,0
Windtalkers,115000000 ,2002,134,5.8,0
The Huntsman: Winter's War,115000000 ,2016,114,6,0
Teenage Mutant Ninja Turtles,125000000 ,2014,101,5.8,0
Gravity,105000000 ,2013,91,7.3,1
Dante's Peak,116000000 ,1997,108,5.7,0
Teenage Mutant Ninja Turtles: Out of the Shadows,135000000 ,2016,112,5.8,0
Fantastic Four,120000000 ,2015,100,4.4,0
Night at the Museum,110000000 ,2006,108,6.3,0
San Andreas,110000000 ,2015,114,6,0
Tomorrow Never Dies,110000000 ,1997,119,6,0
The Patriot,110000000 ,2000,165,6.8,0
Ocean's Twelve,110000000 ,2004,125,6.4,0
Mr. & Mrs. Smith,110000000 ,2005,120,6.5,0
Insurgent,110000000 ,2015,119,6.2,0
The Aviator,116000000 ,2004,170,7,0
Gulliver's Travels,112000000 ,2010,85,4.9,0
The Green Hornet,120000000 ,2011,119,5.5,0
300: Rise of an Empire,110000000 ,2014,102,6.1,0
The Smurfs,110000000 ,2011,103,5.5,0
Home on the Range,110000000 ,2004,76,5.7,0
Allegiant,110000000 ,2016,121,5.9,0
Real Steel,110000000 ,2011,127,6.6,0
The Smurfs 2,105000000 ,2013,105,5.5,0
Speed 2: Cruise Control,160000000 ,1997,121,4.1,0
Ender's Game,110000000 ,2013,114,6.6,0
Live Free or Die Hard,110000000 ,2007,128,6.4,0
The Lord of the Rings: The Fellowship of the Ring,93000000 ,2001,178,8,1
Around the World in 80 Days,110000000 ,2004,120,5.7,0
Ali,107000000 ,2001,157,6.7,0
"I, Robot",120000000 ,2004,115,6.7,0
Kingdom of Heaven,130000000 ,2005,144,6.6,0
Stuart Little,133000000 ,1999,84,5.8,0
The Princess and the Frog,105000000 ,2009,97,6.7,0
The Martian,108000000 ,2015,141,7.6,1
The Island,126000000 ,2005,136,6.5,0
Town & Country,90000000 ,2001,104,3.7,0
Gone in Sixty Seconds,90000000 ,2000,118,6.1,0
Gladiator,103000000 ,2000,155,7.9,1
Minority Report,102000000 ,2002,145,7.1,1
Harry Potter and the Chamber of Secrets,100000000 ,2002,161,7.4,1
Casino Royale,150000000 ,2006,144,7.3,1
Planet of the Apes,100000000 ,2001,119,5.6,0
Terminator 2: Judgment Day,100000000 ,1991,137,7.7,1
Public Enemies,80000000 ,2009,140,6.5,0
American Gangster,100000000 ,2007,157,7.4,1
True Lies,115000000 ,1994,141,6.8,0
The Taking of Pelham 1 2 3,100000000 ,2009,106,6.2,0
Little Fockers,100000000 ,2010,98,5.4,0
The Other Guys,100000000 ,2010,107,6.1,0
Eraser,100000000 ,1996,115,5.6,0
Django Unchained,100000000 ,2012,165,7.8,1
The Hunchback of Notre Dame,100000000 ,1996,91,6.8,0
The Emperor's New Groove,100000000 ,2000,78,7.2,1
The Expendables 2,100000000 ,2012,103,6.1,0
National Treasure,100000000 ,2004,131,6.4,0
Eragon,100000000 ,2006,104,4.9,0
Where the Wild Things Are,100000000 ,2009,101,6.4,0
Epic,100000000 ,2013,102,6.4,0
The Tourist,100000000 ,2010,103,6,0
End of Days,100000000 ,1999,121,5.5,0
Blood Diamond,100000000 ,2006,143,7.3,1
The Wolf of Wall Street,100000000 ,2013,180,7.9,1
Batman Forever,100000000 ,1995,121,5.2,0
Starship Troopers,105000000 ,1997,129,6.7,0
Cloud Atlas,102000000 ,2012,172,6.6,0
Legend of the Guardians: The Owls of Ga'Hoole,80000000 ,2010,97,6.5,0
Catwoman,100000000 ,2004,104,4.2,0
Hercules,100000000 ,2014,99,5.6,0
Treasure Planet,140000000 ,2002,95,7.2,1
Land of the Lost,100000000 ,2009,102,5.3,0
The Expendables 3,90000000 ,2014,127,6.1,0
Point Break,105000000 ,2015,114,5.5,0
Son of the Mask,84000000 ,2005,94,3.6,0
In the Heart of the Sea,100000000 ,2015,122,6.5,0
The Adventures of Pluto Nash,100000000 ,2002,95,4.4,0
Green Zone,100000000 ,2010,115,6.4,0
The Peanuts Movie,99000000 ,2015,88,6.5,0
The Spanish Prisoner,10000000 ,1997,110,7.1,1
The Mummy Returns,98000000 ,2001,130,6,0
Gangs of New York,100000000 ,2002,167,7.1,1
The Flowers of War,94000000 ,2011,145,7.1,1
Surf's Up,85000000 ,2007,85,5.9,0
The Stepford Wives,90000000 ,2004,93,5.4,0
Black Hawk Down,92000000 ,2001,144,7.2,1
The Fifth Element,90000000 ,1997,126,7.3,1
Sex and the City 2,100000000 ,2010,146,5.4,0
The Road to El Dorado,95000000 ,2000,89,7,0
Ice Age: Continental Drift,95000000 ,2012,88,6.2,0
Cinderella,95000000 ,2015,105,6.7,0
The Lovely Bones,65000000 ,2009,136,6.6,0
Finding Nemo,94000000 ,2003,100,7.6,1
The Lord of the Rings: The Return of the King,94000000 ,2003,201,8.1,1
The Lord of the Rings: The Two Towers,79000000 ,2002,179,8,1
Seventh Son,95000000 ,2014,102,5.2,0
Lara Croft: Tomb Raider,115000000 ,2001,100,5.7,0
Transcendence,100000000 ,2014,119,5.9,0
Jurassic Park III,93000000 ,2001,92,5.7,0
Rise of the Planet of the Apes,93000000 ,2011,105,7,0
The Spiderwick Chronicles,90000000 ,2008,95,6.3,0
A Good Day to Die Hard,92000000 ,2013,98,5.2,0
The Alamo,145000000 ,2004,137,5.8,0
The Incredibles,92000000 ,2004,115,7.4,1
Cutthroat Island,98000000 ,1995,119,5.7,0
Percy Jackson & the Olympians: The Lightning Thief,95000000 ,2010,118,6,0
Men in Black,90000000 ,1997,98,6.9,0
Toy Story 2,90000000 ,1999,92,7.3,1
Unstoppable,100000000 ,2010,98,6.3,0
Rush Hour 2,90000000 ,2001,90,6.4,0
What Lies Beneath,100000000 ,2000,130,6.3,0
Cloudy with a Chance of Meatballs,100000000 ,2009,90,6.5,0
Ice Age: Dawn of the Dinosaurs,90000000 ,2009,94,6.5,0
The Secret Life of Walter Mitty,90000000 ,2013,114,7,0
Charlie's Angels,92000000 ,2000,98,5.6,0
The Departed,90000000 ,2006,151,7.9,1
Mulan,90000000 ,1998,88,7.6,1
Tropic Thunder,92000000 ,2008,107,6.5,0
The Girl with the Dragon Tattoo,90000000 ,2011,158,7.2,1
Die Hard: With a Vengeance,90000000 ,1995,128,6.9,0
Sherlock Holmes,90000000 ,2009,128,7,0
Ben-Hur,100000000 ,2016,125,5.3,0
Atlantis: The Lost Empire,120000000 ,2001,95,6.7,0
Valkyrie,75000000 ,2008,121,6.7,0
You Don't Mess with the Zohan,90000000 ,2008,113,5.5,0
Pixels,88000000 ,2015,105,5.6,0
A.I. Artificial Intelligence,100000000 ,2001,146,6.8,0
The Haunted Mansion,90000000 ,2003,99,5.2,0
Contact,90000000 ,1997,150,7.2,1
Hollow Man,95000000 ,2000,112,5.6,0
The Interpreter,80000000 ,2005,128,6.2,0
Percy Jackson: Sea of Monsters,90000000 ,2013,106,5.9,0
Lara Croft Tomb Raider: The Cradle of Life,95000000 ,2003,117,5.5,0
Now You See Me 2,90000000 ,2016,129,6.7,0
The Saint,68000000 ,1997,116,5.9,0
Spy Game,92000000 ,2001,126,6.8,0
Mission to Mars,90000000 ,2000,114,5.7,0
Rio,90000000 ,2011,96,6.5,0
Bicentennial Man,100000000 ,1999,131,6.9,0
Volcano,90000000 ,1997,104,5.2,0
The Devil's Own,90000000 ,1997,107,5.9,0
K-19: The Widowmaker,100000000 ,2002,138,6.1,0
Conan the Barbarian,20000000 ,1982,129,6.6,0
Cinderella Man,88000000 ,2005,144,7.3,1
The Nutcracker: The Untold Story,90000000 ,2010,110,5.4,0
Seabiscuit,87000000 ,2003,141,6.7,0
Twister,92000000 ,1996,113,6.1,0
Cast Away,90000000 ,2000,143,7.5,1
Happy Feet,100000000 ,2006,108,5.9,0
The Bourne Supremacy,75000000 ,2004,108,7.2,1
Air Force One,85000000 ,1997,124,6.2,0
Ocean's Eleven,85000000 ,2001,116,7.2,1
The Three Musketeers,75000000 ,2011,110,5.6,0
Hotel Transylvania,85000000 ,2012,91,6.8,0
Enchanted,85000000 ,2007,107,6.6,0
Safe House,85000000 ,2012,115,6.3,0
102 Dalmatians,85000000 ,2000,100,5.1,0
Tower Heist,75000000 ,2011,104,5.8,0
The Holiday,85000000 ,2006,136,6.7,0
Enemy of the State,90000000 ,1998,132,6.7,0
It's Complicated,85000000 ,2009,121,6.2,0
Ocean's Thirteen,85000000 ,2007,122,6.5,0
Open Season,85000000 ,2006,83,6.1,0
Divergent,85000000 ,2014,139,6.9,0
Enemy at the Gates,68000000 ,2001,131,7.2,1
The Rundown,85000000 ,2003,104,6.4,0
Last Action Hero,85000000 ,1993,130,6.1,0
Memoirs of a Geisha,85000000 ,2005,145,7.3,1
The Fast and the Furious: Tokyo Drift,85000000 ,2006,104,6.1,0
Meet Joe Black,90000000 ,1998,178,6.9,0
Collateral Damage,85000000 ,2002,108,5.5,0
Mirror Mirror,85000000 ,2012,106,5.5,0
Scott Pilgrim vs. the World,60000000 ,2010,112,7.2,1
The Core,60000000 ,2003,136,5.4,0
Nutty Professor II: The Klumps,84000000 ,2000,106,4.7,0
Scooby-Doo,84000000 ,2002,88,5.4,0
Dredd,50000000 ,2012,95,6.6,0
Click,82500000 ,2006,107,6,0
Creepshow,8000000 ,1982,120,6.7,0
Cats & Dogs 2 : The Revenge of Kitty Galore,85000000 ,2010,82,4.9,0
Jumper,85000000 ,2008,88,5.9,0
Hellboy II: The Golden Army,85000000 ,2008,120,6.5,0
Zodiac,65000000 ,2007,157,7.3,1
The 6th Day,82000000 ,2000,123,5.7,0
Bruce Almighty,80000000 ,2003,101,6.4,0
The Expendables,80000000 ,2010,103,6,0
Mission: Impossible,80000000 ,1996,110,6.7,0
The Hunger Games,75000000 ,2012,142,6.9,0
The Hangover Part II,80000000 ,2011,102,6.2,0
Batman Returns,80000000 ,1992,126,6.6,0
Over the Hedge,80000000 ,2006,83,6.3,0
Lilo & Stitch,80000000 ,2002,85,7.1,1
Charlotte's Web,85000000 ,2006,97,5.8,0
Deep Impact,75000000 ,1998,120,5.9,0
RED 2,84000000 ,2013,116,6.4,0
The Longest Yard,82000000 ,2005,113,6.2,0
Alvin and the Chipmunks: Chipwrecked,75000000 ,2011,87,5.4,0
Grown Ups 2,80000000 ,2013,100,5.8,0
Get Smart,80000000 ,2008,110,6,0
Something's Gotta Give,80000000 ,2003,128,6.3,0
Shutter Island,80000000 ,2010,138,7.8,1
Four Christmases,80000000 ,2008,88,5.3,0
Robots,75000000 ,2005,91,6,0
Face/Off,80000000 ,1997,138,6.8,0
Bedtime Stories,80000000 ,2008,99,5.9,0
Road to Perdition,80000000 ,2002,117,7.3,1
Just Go with It,80000000 ,2011,117,6.3,0
Con Air,75000000 ,1997,115,6.5,0
Eagle Eye,80000000 ,2008,118,6.3,0
Cold Mountain,79000000 ,2003,154,6.7,0
The Book of Eli,80000000 ,2010,118,6.6,0
Flubber,80000000 ,1997,93,5.3,0
The Haunting,80000000 ,1999,113,5.2,0
Space Jam,80000000 ,1996,88,6.5,0
The Day the Earth Stood Still,80000000 ,2008,104,5.2,0
Conspiracy Theory,75000000 ,1997,135,6.5,0
Fury,68000000 ,2014,135,7.4,1
Six Days Seven Nights,70000000 ,1998,98,5.6,0
Yogi Bear,80000000 ,2010,80,5.2,0
Spirit: Stallion of the Cimarron,80000000 ,2002,83,7.4,1
Zookeeper,80000000 ,2011,102,5.3,0
Lost in Space,80000000 ,1998,130,5,0
The Manchurian Candidate,80000000 ,2004,129,6.2,0
Hotel Transylvania 2,80000000 ,2015,89,6.7,0
Fantasia 2000,80000000 ,1999,74,7,0
The Time Machine,80000000 ,2002,96,5.8,0
Mighty Joe Young,90000000 ,1998,114,5.9,0
Swordfish,102000000 ,2001,99,6.1,0
The Legend of Zorro,75000000 ,2005,129,5.9,0
What Dreams May Come,85000000 ,1998,113,6.8,0
Little Nicky,85000000 ,2000,90,5.2,0
The Brothers Grimm,88000000 ,2005,118,5.6,0
Mars Attacks!,70000000 ,1996,106,6.1,0
Surrogates,80000000 ,2009,89,5.9,0
Thirteen Days,80000000 ,2000,145,6.9,0
Daylight,80000000 ,1996,115,5.8,0
Walking With Dinosaurs,80000000 ,2013,87,5.2,0
Battlefield Earth,44000000 ,2000,118,3,0
Looney Tunes: Back in Action,80000000 ,2003,90,5.6,0
Nine,80000000 ,2009,112,5.1,0
Timeline,80000000 ,2003,116,5.4,0
The Postman,80000000 ,1997,177,6.1,0
Babe: Pig in the City,90000000 ,1998,92,5.2,0
The Last Witch Hunter,90000000 ,2015,106,5.7,0
Red Planet,80000000 ,2000,106,5.4,0
Arthur and the Invisibles,86000000 ,2006,94,6,0
A Sound of Thunder,80000000 ,2005,110,4.8,0
Pompeii,130000000 ,2014,105,5.2,0
Top Cat Begins,8000000 ,2015,89,5.3,0
A Beautiful Mind,60000000 ,2001,135,7.7,1
The Lion King,45000000 ,1994,89,8,1
Journey 2: The Mysterious Island,79000000 ,2012,94,5.8,0
Cloudy with a Chance of Meatballs 2,78000000 ,2013,95,6.4,0
Red Dragon,78000000 ,2002,124,6.7,0
Hidalgo,100000000 ,2004,136,6.5,0
Jack and Jill,79000000 ,2011,91,4.1,0
2 Fast 2 Furious,76000000 ,2003,107,6.2,0
The Little Prince,64000000 ,2015,92,7.6,1
The Invasion,80000000 ,2007,99,5.7,0
The Adventures of Rocky & Bullwinkle,76000000 ,2000,88,3.9,0
The Secret Life of Pets,75000000 ,2016,87,5.9,0
The League of Extraordinary Gentlemen,78000000 ,2003,110,5.7,0
Despicable Me 2,76000000 ,2013,98,7,0
Independence Day,75000000 ,1996,145,6.7,0
The Lost World: Jurassic Park,73000000 ,1997,129,6.2,0
Madagascar,75000000 ,2005,86,6.6,0
Children of Men,76000000 ,2006,109,7.4,1
X-Men,75000000 ,2000,104,6.8,0
Wanted,75000000 ,2008,110,6.4,0
The Rock,75000000 ,1996,136,6.9,0
Ice Age: The Meltdown,80000000 ,2006,91,6.5,0
50 First Dates,75000000 ,2004,99,6.6,0
Hairspray,50000000 ,2007,117,6.5,0
Exorcist: The Beginning,80000000 ,2004,114,4.7,0
Inspector Gadget,75000000 ,1999,78,4.3,0
Now You See Me,75000000 ,2013,115,7.3,1
Grown Ups,80000000 ,2010,102,6,0
The Terminal,60000000 ,2004,128,7,0
Hotel for Dogs,35000000 ,2009,100,5.7,0
Vertical Limit,75000000 ,2000,124,5.9,0
Charlie Wilson's War,75000000 ,2007,102,6.5,0
Shark Tale,75000000 ,2004,90,5.8,0
Dreamgirls,70000000 ,2006,134,6.6,0
Be Cool,53000000 ,2005,118,5.4,0
Munich,70000000 ,2005,164,6.9,0
Tears of the Sun,70000000 ,2003,121,6.4,0
Killers,75000000 ,2010,100,5.7,0
The Man from U.N.C.L.E.,75000000 ,2015,116,7.1,1
Spanglish,80000000 ,2004,130,5.8,0
Monster House,75000000 ,2006,91,6.3,0
Bandits,75000000 ,2001,123,6.2,0
First Knight,55000000 ,1995,134,5.9,0
Anna and the King,75000000 ,1999,148,6.4,0
Immortals,75000000 ,2011,110,5.7,0
Hostage,52000000 ,2005,113,6.2,0
Titan A.E.,75000000 ,2000,94,6.3,0
Hollywood Homicide,75000000 ,2003,116,5,0
Soldier,75000000 ,1998,99,6.1,0
